,DATE,WTI_HH,NCF_RCF,NCF_WTI,NCF_HH,NCF_NBP,NCF_B,RCF_B,RCF_NBP,WTI_B,WTI_HH_r,NCF_RCF_r,NCF_WTI_r,NCF_HH_r,NCF_NBP_r,NCF_B_r,RCF_B_r,RCF_NBP_r
4120,2020-04-13,12.021505376344084,1.361884368308351,2.8443649373881934,34.193548387096776,30.088872879337657,2.003780718336484,1.471329552614997,22.093559173979067,0.704473850031506,-0.08657557402451055,0.0021413276231261325,0.02415026833631484,-0.06451612903225801,-0.006540639706468898,-0.008191556395715227,-0.01031080520683536,-0.008663416117352551
4121,2020-04-14,11.448863636363635,1.3715846994535519,3.114143920595534,35.65340909090909,32.00482943950592,2.1199324324324325,1.5456081081081081,23.33419835629316,0.6807432432432432,-0.04763477801268501,0.0071227274289447084,0.09484682491377572,0.04269403945111505,0.06367658130138754,0.05796627995920445,0.05048396897968632,0.05615388505511909
4122,2020-04-15,11.880952380952381,1.3741721854304636,3.1187374749498997,37.05357142857143,33.77240534612023,2.2481040086673887,1.635969664138678,24.576545577176645,0.720837847598411,0.03774075386978626,0.0018864937600591158,0.0014750616771390668,0.03927148548662496,0.05522841201060924,0.06046021763433784,0.058463432972784,0.05324147853352024
4123,2020-04-16,12.465408805031446,1.3604395604395605,3.123107971745711,38.93081761006289,32.678289368100074,2.225017972681524,1.6355140186915889,24.020390407892624,0.7124370956146657,0.04919272507278705,-0.009993380113861972,0.0014013673260144799,0.05066302947639589,-0.03239674422970429,-0.010269113838531574,-0.0002785170514326696,-0.022629509405117654
4124,2020-04-17,10.707602339181285,1.3656387665198237,3.386127799016931,36.25730994152047,32.30976013234078,2.207977207977208,1.6168091168091168,23.659082419488247,0.652065527065527,-0.14101474675589076,0.0038217104467201946,0.08421733403094644,-0.06867329875577466,-0.011277494718528569,-0.007658708789564983,-0.011436711436711544,-0.015041720066533926
4127,2020-04-20,-20.775280898876403,1.3501646542261252,-1.6630611141157383,34.550561797752806,35.80110651615066,2.4051622995698083,1.7813844348846304,26.516104094482316,-1.4462260461478293,-2.940236501205825,-0.011331043518288952,-1.4911394999912768,-0.047073214932946805,0.10805856711746942,0.08930576406322932,0.10179019673040579,0.12075792392695295
4128,2020-04-21,4.640625,1.3476347634763475,6.874298540965207,31.901041666666668,35.6408924921718,3.168649767201242,2.351267459906881,26.44699695949728,0.46094154164511125,-1.2233724310438074,-0.0018737646122337637,-5.133521301542982,-0.07668529810298097,-0.004475113748414028,0.3174369845095246,0.3199101855064532,-0.0026062326026022875
4129,2020-04-22,7.178947368421054,1.35437430786268,4.483137829912023,32.18421052631579,34.391326389378655,3.001963672066765,2.2164948453608244,25.392778192648343,0.6696121747668139,0.5469785575048736,0.00500101701810296,-0.3478406846609612,0.008876476906551911,-0.035059899329614175,-0.05260477092162352,-0.05731913397525357,-0.03986156796794127
4130,2020-04-23,8.096774193548386,1.3574610244988865,4.0471447543160695,32.76881720430107,35.687610971197195,2.857477730895453,2.1050164088138774,26.289971002571846,0.7060478199718707,0.12784977769369,0.002279072054369946,-0.09725176698493543,0.018164393919412047,0.03769219503609733,-0.04813047623319089,-0.050294922535134234,0.03533259744627926
4131,2020-04-24,8.834254143646408,1.278588807785888,3.286429018136335,29.033149171270715,33.33337562115524,2.451026119402985,1.9169776119402984,26.070442207982506,0.7458022388059701,0.09108318108780344,-0.05810274865321796,-0.18796356007984905,-0.11400069797270662,-0.0659678607218066,-0.14224139250425494,-0.08932889838114566,-0.00835028667653781
4134,2020-04-27,7.2440476190476195,1.2915601023017902,4.1495480690221855,30.05952380952381,30.931402723800947,2.5262631315657833,1.9559779889944975,23.94886824753697,0.6088044022011005,-0.18000461598022566,0.010145008650876974,0.262631277329491,0.03535181912917418,-0.07205909550396294,0.030696128273461465,0.020344722239465485,-0.08137851838186039
4135,2020-04-28,6.888888888888889,1.3328998699609882,4.133064516129032,28.47222222222222,29.79826487465425,2.504887585532747,1.8792766373411536,22.35596652547231,0.6060606060606061,-0.04902766365379352,0.032007622088606746,-0.003972373043755972,-0.05280528052805289,-0.03663389789544769,-0.008461330003968315,-0.03921381124169676,-0.0665126095145846
4136,2020-04-29,8.693641618497109,1.314102564102564,3.4075797872340425,29.6242774566474,29.435935113894384,2.273735581188997,1.7302573203194322,22.4000286720367,0.6672582076308784,0.2619802349431286,-0.014102564102564052,-0.17553191489361697,0.040462427745664664,-0.012159424794832785,-0.0922803904170364,-0.07929610471428916,0.0019709345384009147
4137,2020-04-30,11.79754601226994,1.3136762860727729,2.722308892355694,32.11656441717792,29.950270536474285,1.976963746223565,1.5049093655589125,22.79882102919771,0.7262084592145015,0.35703155593264624,-0.00032438718364602437,-0.20110193676039723,0.08412988178961567,0.017473045126299436,-0.1305217006852848,-0.13023956154620808,0.0178032074422676
4138,2020-05-01,11.668639053254438,1.2974683544303798,2.5988843813387423,30.325443786982248,30.90316101047367,1.9383509833585475,1.493948562783661,23.818046047096782,0.745839636913767,-0.010926590909790312,-0.012337842902566676,-0.045338172814823,-0.05576937205766841,0.031815755147818425,-0.019531345953498813,-0.007283364052413033,0.04470516333251551
4141,2020-05-04,11.5,1.2974358974358975,2.471910112359551,28.426966292134832,29.448734816005356,1.8602941176470589,1.4338235294117647,22.69764145897646,0.7525735294117647,-0.014452332657200806,-2.5015634771752282e-05,-0.04885722115648106,-0.06260345300082215,-0.04706399432651509,-0.040269727403156264,-0.04024571854058079,-0.0470401554310913
4142,2020-05-05,12.725388601036268,1.2752525252525253,2.0561889250814334,26.16580310880829,29.83514751708062,1.6306102680012917,1.278656764610914,23.395482013393913,0.7930255085566678,0.10655553052489286,-0.017097856030662384,-0.1681781166716021,-0.0795428945913289,0.013121538276247069,-0.12346641720088669,-0.10821887186110624,0.030745069071547615
4143,2020-05-06,12.56842105263158,1.28,2.1440536013400338,26.947368421052634,30.334720534573616,1.7227456258411846,1.3458950201884254,23.699000417635634,0.8034993270524899,-0.012334990570889603,0.003722772277227726,0.04273181086952915,0.029869723814486715,0.01674444603322267,0.056503604600029345,0.05258507008170543,0.012973376828396166
4144,2020-05-07,12.869565217391303,1.2723880597014925,2.1600506756756754,27.798913043478258,29.604323029871374,1.7362525458248472,1.364562118126273,23.26674068036812,0.8038017651052274,0.023960381618235882,-0.005946828358209033,0.007461135451857892,0.03160028872282594,-0.02407793748651088,0.007840344959266554,0.013869653767820678,-0.0182395767606236
4145,2020-05-08,14.21264367816092,1.27875,2.068338050950263,29.39655172413793,29.477910757829537,1.6515983209557636,1.2915724895059735,23.052129624891133,0.7985146916370681,0.10436082634358512,0.0050000000000001155,-0.04245855236554774,0.05747126436781613,-0.0042700612310669905,-0.0487568614788505,-0.05348941440681654,-0.009223941523449852
4148,2020-05-11,14.129411764705882,1.2957393483709274,2.1523730224812656,30.411764705882355,31.545109995418944,1.7448531893351336,1.3466081673979076,24.345258971319453,0.8106648666891664,-0.005856188006945651,0.013285902929366378,0.040629224749984205,0.0345351043643265,0.07012706071919772,0.05646340711063713,0.04261137360782996,0.05609587346029965
4149,2020-05-12,16.0,1.309823677581864,2.0186335403726705,32.29813664596273,34.70359128779688,1.734489659773182,1.324216144096064,26.494857194721853,0.8592394929953303,0.13238967527060796,0.010869724091225663,-0.06213582901834536,0.06202770402585367,0.10012586080177321,-0.005939485124189958,-0.01662846241688276,0.08829637942791191
4150,2020-05-13,16.262820512820515,1.3316391359593391,2.065431612140323,33.58974358974359,35.70109489943771,1.7951353203151763,1.3480644056183624,26.809887104825844,0.869133264816718,0.01642628205128216,0.01665526341511092,0.023183044783360307,0.03999013806706131,0.028743526955712806,0.03496455582786506,0.018009342076536594,0.011890228650364154
4151,2020-05-14,17.124999999999996,1.3235294117647058,1.8886861313868615,32.34375,33.8642816440281,1.662383552842917,1.2560231288146484,25.586346131043452,0.8801798907805974,0.05301537248718935,-0.006090031432420262,-0.08557314592968168,-0.03709446564885499,-0.05144977375577764,-0.07395084146021469,-0.06827661677002317,-0.04563767721208167
4152,2020-05-15,17.734939759036145,1.3148387096774194,1.7306385869565217,30.692771084337352,33.39546616072481,1.5676923076923077,1.1923076923076923,25.398907040786778,0.9058461538461539,0.03561692023568752,-0.006566308243727503,-0.08368121193026679,-0.051044758745125374,-0.013843951814225597,-0.05696112969156453,-0.05072791658469422,-0.00732574668132302
4155,2020-05-18,17.983050847457626,1.323037323037323,1.6148287778825008,29.03954802259887,36.561435410489956,1.476587187589773,1.1160586038494684,27.63447014975749,0.9143924159724216,0.013989959469417723,0.006235451770289613,-0.06691738526279056,-0.053863597300998656,0.094802367319206,-0.05811415904479644,-0.06395084838431675,0.08801808303722436
4156,2020-05-19,17.459459459459456,1.3333333333333333,1.6037151702786379,27.999999999999996,37.757870584388336,1.494949494949495,1.1212121212121213,28.318402938291253,0.9321789321789321,-0.029115826476806772,0.0077821011673151474,-0.006882220428617858,-0.0357976653696499,0.032723966126207094,0.01243564045120471,0.0046176046176047425,0.024749263685077905
4157,2020-05-20,18.338797814207652,1.3414948453608249,1.5509535160905839,28.44262295081967,39.47662415022869,1.455944055944056,1.0853146853146853,29.427339424185845,0.9387412587412588,0.05036458068991223,0.006121134020618646,-0.03289964151108382,0.015807962529273967,0.04552040512981148,-0.026091476091476107,-0.032016632016632074,0.03915957013222382
4158,2020-05-21,19.599999999999998,1.3393548387096774,1.5131195335276968,29.657142857142855,45.75601096451555,1.439267886855241,1.074597892401553,34.16272494942154,0.9511924570160841,0.06877234803337284,-0.0015952403086363365,-0.02439401450164247,0.0427006998764925,0.15906595230611908,-0.011453852928436703,-0.009874364604239294,0.16091789532776302
4159,2020-05-22,19.700000000000003,1.3441138421733507,1.5512093162137952,30.558823529411768,45.12361002777774,1.4787930543694847,1.1001992598918302,33.57127098313011,0.9533162539140336,0.005102040816326703,0.0035532058616059015,0.025173016303144058,0.030403490876119488,-0.01382115537187567,0.027461995001225814,0.02382413707611364,-0.017312845130682097
4163,2020-05-26,19.385474860335197,1.3575129533678756,1.510086455331412,29.273743016759774,43.23137713551865,1.4487144042023776,1.0671827481338125,31.84601445479046,0.9593585844622615,-0.015965743130193166,0.009968732390151835,-0.026510194628508454,-0.04205268280093144,-0.04193443058067037,-0.02033999962214572,-0.03000957459402742,-0.05139086122794134
4164,2020-05-27,18.42696629213483,1.3565891472868217,1.6006097560975612,29.49438202247191,48.23892103591842,1.5112262521588946,1.1139896373056994,35.558976077905584,0.9441565918249855,-0.04944467830197863,-0.0006805136398603251,0.0599457735989577,0.007537095805815408,0.11583123722157818,0.04314987672876369,0.0438602378587345,0.11659109269030044
4165,2020-05-28,18.81005586592179,1.3466494845360826,1.5518265518265517,29.18994413407821,48.26483083569377,1.4805894020969113,1.099461603853783,35.84067820908934,0.9540946443751772,0.020789617114048475,-0.0073269513991162105,-0.030477887620744992,-0.010321894120776887,0.0005371139987988549,-0.02027284135530094,-0.013041443982418022,0.007922110315172759
